"sep=,"
"","","","","","","DB"
"Date","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","Historical Average"
"'02-Jan","17.16","13.61","","","","8.33","8.2","19.33","","","27.2042",""
"'03-Jan","17.49","13.34","11.71","12.82","","8.12","8.09","19.16","16.4546","","",""
"'04-Jan","","13.62","12.48","13.22","10.74","","8.52","19.77","17.4724","20.9723","","15.2119"
"'05-Jan","","13.73","12.14","13.17","10.94","","","18.55","17.1957","20.9634","25.731","14.906"
"'06-Jan","17.5","","12.44","13.84","11.53","8.06","","","17.2046","20.6598","25.3203","14.9855"
"'07-Jan","17.42","","","14.09","11.68","8.25","8.7","","","20.2848","25.5882","15.0518"
"'08-Jan","17.33","14.01","","","11.66","8.57","8.74","18.3","","19.7313","25.6417","15.0388"
"'09-Jan","","13.81","12.44","","","8.61","8.56","18.13","17.0082","","25.2132","14.9253"
"'10-Jan","17.48","13.97","12.63","13.88","","8.52","8.61","18.5","16.6689","","","14.9383"
"'11-Jan","","13.43","12.67","14.13","11.65","","8.56","18.56","17.0796","20.2491","","15.0062"
"'12-Jan","","13.09","12.82","14.01","11.81","","","18.7","16.7136","20.4723","25.2043","14.99"
"'13-Jan","17.4","","12.73","13.85","11.72","8.48","","","17.1242","19.7938","25.6239","14.9672"
"'14-Jan","18.23","","","13.79","12.13","8.58","8.58","","","19.6509","25.6417","15.0017"
"'15-Jan","18.77","","","","11.62","8.41","8.63","","","18.7135","25.4632","14.8271"
"'16-Jan","18.77","12.83","","","","8.54","9.29","18.51","","","25.5971","14.8745"
"'17-Jan","19.08","12.8","12.91","","","8.42","8.92","18.52","16.5707","","","14.7861"
"'18-Jan","","13.01","12.85","13.5","","","9.14","18.53","16.7314","","","14.8112"
"'19-Jan","","13.01","12.8","13.24","11.25","","","18.78","16.8564","18.2313","","14.7325"
"'20-Jan","","","13.04","13.06","11.11","","","","17.1242","17.2582","26.1774","14.712"
"'21-Jan","19.62","","","12.81","11.18","8.27","","","","16.5886","26.6238","14.6567"
"'22-Jan","19.45","12.96","","","10.89","8.4","8.85","19.39","","17.0171","26.9988","14.748"
"'23-Jan","19.9","13.05","12.99","","","8.56","9.05","19.47","17.1778","","26.1239","14.7139"
"'24-Jan","20","13.2","13.03","12.43","","8.57","8.86","19.74","17.7046","","","14.7566"
"'25-Jan","","13.13","13.07","12.59","10.5","","9.24","19.64","18.6153","15.9547","","14.7434"
"'26-Jan","","13.11","13.31","12.94","10.67","","","19.51","18.5706","16.66","26.4721","14.9053"
"'27-Jan","20.05","","13.43","13.18","10.29","8.54","","","18.2671","16.4457","25.7846","14.7797"
"'28-Jan","20.11","","","13.49","10.49","8.67","9.27","","","15.8564","24.9364","14.703"
"'29-Jan","20.11","12.98","","","10.12","8.77","9.23","19.1","","15.9725","26.2756","14.7635"
"'30-Jan","19.74","13.12","13.29","","","9.3","9.29","18.38","17.9546","","25.8739","14.6791"
"'31-Jan","19.53","12.85","13.38","13.89","","9.15","8.88","18.34","17.776","","","14.6232"
"'01-Feb","","13.6","13.49","14.39","10.37","","8.85","18.65","18.276","15.9279","","14.8578"
"'02-Feb","","13.83","12.58","14.41","10.45","","","17.09","17.6153","15.1243","26.9363","14.6036"
"'03-Feb","18.83","","12.43","15.12","10.54","8.96","","","18.0349","14.8654","28.0166","14.7737"
"'04-Feb","18.88","","","15.75","10.41","8.99","8.8","","","15.1422","27.347","14.7824"
"'05-Feb","18.94","13.48","","","10.32","9.11","8.9","16.39","","15.0797","27.7577","14.7252"
"'06-Feb","19.41","13.19","12.22","","","10.37","8.95","16.52","17.6242","","27.1863","14.721"
"'07-Feb","19.17","12.58","12.48","15.66","","10.41","8.36","16.09","17.4278","","","14.5594"
"'08-Feb","","12.58","12.55","16.42","10.56","","8.19","15.49","17.151","13.8744","","14.4412"
"'09-Feb","","12.54","12.49","16.39","10.47","","","15.58","17.1957","13.7315","27.1327","14.413"
"'10-Feb","","","12.11","16.5","10.59","10.3","","","16.91","14.4726","27.1506","14.4343"
"'11-Feb","","","","15.7","10.68","10.5","8.32","","","13.8476","26.9363","14.3124"
"'12-Feb","","12.85","","","10.89","10.85","8.54","16.01","","15.5172","28.2041","14.7581"
"'13-Feb","","12.66","12.27","","","11.02","8.54","15.9","17.151","","28.8291","14.8477"
"'14-Feb","","12.83","12.4","15.63","","11.04","8.34","16.26","17.4367","","","14.9173"
"'15-Feb","","12.98","12.28","15.95","","","8.8","16.11","17.8385","","","15.0235"
"'16-Feb","","12.87","12.57","15.77","11.35","","","16.08","17.6599","15.3208","","15.029"
"'17-Feb","","","12.72","15.45","11.27","","","","17.3296","16.0082","29.1059","15.0674"
"'18-Feb","","","","15.31","11.17","10.71","","","","15.2583","29.2755","14.9523"
"'19-Feb","","","","","11.63","10.67","8.61","","","15.0886","29.1059","14.9414"
"'20-Feb","","12.97","","","","10.67","8.74","16.46","","","29.8558","15.0774"
"'21-Feb","","12.97","12.28","","","10.24","8.66","16.57","17.4814","","","15.0086"
"'22-Feb","","13.22","12.18","14.86","11.99","","8.65","16.43","17.5439","15.5261","","15.0496"
"'23-Feb","","13.38","12.16","14.36","12.03","","","16.43","17.5974","14.8922","29.3469","14.9087"
"'24-Feb","","","11.97","12.77","12.44","9.64","","","17.0796","14.6779","29.5969","14.6634"
"'25-Feb","","","","13.44","12.75","9.33","8.77","","","14.9726","29.338","14.746"
"'26-Feb","","13.27","","","12.27","9.45","8.92","16.48","","15.4636","29.1148","14.7458"
"'27-Feb","","13.45","12.25","","","8.98","9.11","16.4","17.4814","","29.2219","14.8067"
"'28-Feb","","13.38","12.46","12.43","","8.72","9.24","15.94","17.5796","","","14.6705"
"'29-Feb","","13.43","","","","","","","","15.3475","","14.6639"
"'01-Mar","","13.59","12.42","11.36","12.63","","9.29","15.7","18.4456","15.9904","","14.7368"
"'02-Mar","","","12.2","11.6","12.63","8.59","","15.79","18.0439","16.7136","29.3916","14.7839"
"'03-Mar","","","12.48","11.17","12.83","8.14","","","17.276","17.4189","28.8112","14.6796"
"'04-Mar","","13.59","","9.98","12.34","8.2","9.2","","","17.5439","28.722","14.5122"
"'05-Mar","","13.67","","","12.71","7.75","9.16","15.89","","","28.7577","14.5218"
"'06-Mar","","13.68","12.52","","","7.59","9.17","16.06","16.6153","","28.4363","14.4306"
"'07-Mar","","13.94","12.13","9.53","","","8.66","16.33","16.4903","17.3832","","14.32"
"'08-Mar","","13.97","12.3","10.23","13.15","","8.64","16.18","16.4903","16.9635","","14.395"
"'09-Mar","","","11.91","10.87","12.69","6.62","","16.12","17.0082","16.9457","28.5434","14.3317"
"'10-Mar","","","11.12","10.74","12.82","6.96","","","17.526","17.2046","27.8202","14.2921"
"'11-Mar","","14.29","","10.25","12.54","6.51","9.12","","","18.4099","28.1952","14.4081"
"'12-Mar","","14.88","","","12.72","5.53","8.86","16.11","","","28.3023","14.3708"
"'13-Mar","","14.85","10.87","","","5.97","9.06","15.79","17.5171","","28.4095","14.3847"
"'14-Mar","","14.69","11.26","11.13","","","8.91","15.7","17.1957","18.3831","","14.4368"
"'15-Mar","","14.82","10.5","11.37","12.5","","8.88","15.7","17.2046","17.9903","","14.3344"
"'16-Mar","","","10.32","12.21","12.38","5.48","","15.82","17.4992","17.2403","29.2041","14.3854"
"'17-Mar","","","9.89","12.27","12.6","5.79","","","16.9903","17.0707","28.9809","14.3112"
"'18-Mar","","14.63","","12.28","12.94","5.56","9.26","","","17.2046","29.5433","14.4118"
"'19-Mar","","14.89","","","12.66","5.86","9.05","15.54","","","29.3916","14.3756"
"'20-Mar","","14.99","9.91","","","5.76","8.78","15.52","16.41","","30.4897","14.4004"
"'21-Mar","","15.22","10.59","12.25","","","8.43","14.79","17.08","17.026","","14.4296"
"'22-Mar","","15.3","10.28","12.98","12.61","","8.21","14.19","17.05","16.7046","","14.3574"
"'23-Mar","","","9.65","12.68","12.29","5.84","","13.75","16.91","16.0707","30.9897","14.169"
"'24-Mar","","","9.35","12.75","12.4","6.58","","","16.83","15.66","31.4093","14.2239"
"'25-Mar","","15.27","","12.89","12.34","6.88","8.17","","","","31.079","14.2219"
"'26-Mar","","15.36","","","12.35","6.99","8.28","14.07","","","30.7754","14.2555"
"'27-Mar","","15.96","9.79","","","6.47","8.46","13.77","16.95","","30.7754","14.3075"
"'28-Mar","","15.77","9.65","12.91","","","8.19","13.76","17.38","15.7225","","14.2978"
"'29-Mar","","","9.94","13.23","11.95","","8.12","13.98","17.43","15.5797","","14.3245"
"'30-Mar","","","10.04","12.93","12.11","6.51","","","17.26","15.285","31.2218","14.3227"
"'31-Mar","","","10.21","12.65","12","6.42","","","17.16","15.1243","31.0076","14.2442"
"'01-Apr","","15.71","","13.1","12.12","5.96","8.55","","","15.2404","31.5165","14.3547"
"'02-Apr","","15.69","","","","6.02","8.5","13.68","","","31.8736","14.3594"
"'03-Apr","","16.15","10.38","","","5.9","8.59","13.72","16.7","","","14.3774"
"'04-Apr","","15.95","10.3","13.04","","","8.5","13.88","16.65","14.9458","","14.3159"
"'05-Apr","","15.94","10.2","12.79","12.21","","8.35","14.32","16.5","14.2226","","14.2306"
"'06-Apr","","","10.39","12.44","12.26","6.38","","13.87","16.6","14.4279","32.195","14.2853"
"'07-Apr","","","","12.63","12.47","6.64","","","16.46","13.7583","31.9897","14.2498"
"'08-Apr","","16.16","","12.81","12.36","6.54","8.32","","","14.169","31.7843","14.2863"
"'09-Apr","","15.9","","","12.32","6.69","8.24","14.01","","","31.5343","14.2523"
"'10-Apr","","15.99","10.32","","","","8.21","14.08","16.47","","31.3915","14.2451"
"'11-Apr","","15.73","10.5","11.99","","","8.39","14.19","16.32","14.2137","","14.1735"
"'12-Apr","","15.65","10.54","11.69","12.4","","8.61","14.41","16.19","14.2851","","14.1857"
"'13-Apr","","","10.58","11.92","12.28","6.52","","14.38","15.86","15.4993","31.2308","14.253"
"'14-Apr","","","10.95","11.75","12.37","6.85","","","","15.4279","31.2754","14.3123"
"'15-Apr","","15.51","","","12.29","6.23","8.64","","","15.4458","31.4272","14.2483"
"'16-Apr","","15.37","","","12.55","6.22","8.87","14.33","","","30.579","14.1925"
"'17-Apr","","15.67","10.79","","","6.54","8.93","14.38","16.12","","29.7308","14.1907"
"'18-Apr","","15.8","10.9","11.82","","","8.78","14.44","15.96","15.794","","14.2315"
"'19-Apr","","15.91","11.04","11.93","12.52","","","14.46","16.08","15.9279","","14.2919"
"'20-Apr","","","10.9","12.09","11.97","6.33","","14.26","16.55","16.7136","29.8201","14.3324"
"'21-Apr","","","10.88","12.17","11.97","6.08","","","16.5","16.6689","29.7666","14.2986"
"'22-Apr","","16.24","","11.78","11.69","6.09","8.75","","","16.8653","30.3112","14.3367"
"'23-Apr","","16.5","","","11.88","6.18","8.54","14.25","","","30.4897","14.3865"
"'24-Apr","","16.48","10.99","","","5.95","8.5","14.78","18.37","","30.5879","14.6183"
"'25-Apr","","17.92","10.28","11.43","","","8.35","14.6","18.49","16.1957","","14.5684"
"'26-Apr","","17.77","10.64","10.88","12.14","","8.19","14.34","18.84","16.6421","","14.598"
"'27-Apr","","","10.91","10.13","12.35","6.69","","13.89","18.15","16.9814","29.1148","14.4176"
"'28-Apr","","","11.01","10.24","13.72","6.85","","","18.07","17.3742","28.6059","14.572"
"'29-Apr","","16.24","","9.88","14.2","7.67","8.32","","","16.9278","28.3291","14.4537"
"'30-Apr","","16.05","","","14","7.41","8.28","13.66","","","28.6595","14.3947"
"'01-May","","16.17","10.8","","","7.15","8.15","13.59","18.22","","28.8291","14.3717"
"'02-May","","16.19","10.71","10.08","","","8.22","13.63","18.27","16.4993","","14.3578"
"'03-May","","16.47","10.47","10.43","13.74","","8.22","13.63","18.47","15.4815","","14.2891"
"'04-May","","","10.28","10.64","13.4","7.05","","13.78","18.78","15.3565","28.6505","14.2627"
"'05-May","","","10.67","9.89","13.59","6.97","","","19.35","14.8833","28.1327","14.1956"
"'06-May","","16.9","","9.84","13.87","6.8","8.11","","","15.0976","28.8023","14.322"
"'07-May","","17.29","","","14.14","6.99","7.82","13.78","","","28.6148","14.3592"
"'08-May","","17.26","10.65","","","7.13","7.87","13.59","19.07","","28.9452","14.3593"
"'09-May","","17.18","10.63","9.5","","","7.78","13.78","18.85","14.9279","","14.2863"
"'10-May","","17.14","10.64","9.73","13.84","","7.87","13.88","19.01","15.3118","","14.3497"
"'11-May","","","10.51","9.51","13.8","6.93","","13.86","18.81","14.9101","28.8648","14.2205"
"'12-May","","","10.46","9.44","13.83","6.91","","","18.77","14.8208","28.838","14.1939"
"'13-May","","17.04","","9.71","14.09","6.6","7.64","","","14.6333","29.1684","14.1972"
"'14-May","","17.45","","","14.4","6.66","7.68","13.65","","","29.6326","14.3046"
"'15-May","","17.53","10.63","","","6.44","7.67","13.29","19.03","","29.7755","14.3109"
"'16-May","","17.17","10.4","9.68","","","7.66","13","19.27","14.6154","","14.2411"
"'17-May","","17.08","10.6","10.12","14.32","","7.58","12.99","18.64","14.4279","","14.1973"
"'18-May","","","10.58","9.83","14.29","7.13","","12.71","18.68","14.9547","29.3826","14.2217"
"'19-May","","","10.6","10.1","14.27","7.06","","","19.04","14.9904","29.3291","14.276"
"'20-May","","16.95","","9.91","14.37","7.51","7.43","","","15.0976","29.4451","14.3063"
"'21-May","","16.88","","","14.73","7.36","7.52","12.71","","","29.4809","14.3329"
"'22-May","","16.73","10.68","","","7.32","7.34","12.97","19.12","","28.2666","14.2164"
"'23-May","","16.7","10.6","10.65","","","7.23","12.88","19.25","15.1154","","14.2742"
"'24-May","","17.05","10.44","10.89","15.03","","7.18","12.25","18.94","15.5082","","14.2875"
"'25-May","","","10.45","11.02","14.82","","","12.05","18.85","16.0618","","14.3068"
"'26-May","","","10.47","11.19","14.88","8.21","","","18.46","16.1154","27.3113","14.2917"
"'27-May","","","","11.25","15.03","8.68","","","","16.1868","27.5524","14.3909"
"'28-May","","17","","","15.09","8.51","7.02","","","","27.4452","14.3482"
"'29-May","","16.56","","","","8.4","6.92","11.3","","","26.972","14.1609"
"'30-May","","16.74","10.44","","","","6.91","11.57","17.97","","","14.1529"
"'31-May","","16.68","10.13","11.18","","","6.77","11.08","17.48","15.8922","","13.9674"
"'01-Jun","","","10.32","10.97","15.16","8.69","","11.04","17.65","15.7315","26.6685","13.968"
"'02-Jun","","","10.6","11.05","15.18","8.9","","","17.66","15.66","27.7399","14.128"
"'03-Jun","","16.85","","10.93","15.19","9.22","6.73","","","15.2315","28.1416","14.1593"
"'04-Jun","","16.4","","","15.12","9.49","7.07","11.21","","","27.9809","14.1692"
"'05-Jun","","16.38","10.39","","","9.69","6.92","11.03","17.5","","27.347","14.0539"
"'06-Jun","","16.58","10.57","11.14","","","6.75","11.35","17.33","15.3029","","14.118"
"'07-Jun","","16.55","10.55","11.13","15.08","","6.76","11.51","17.46","15.419","","14.1496"
"'08-Jun","","","10.68","10.79","14.92","10.2","","11.25","17.57","15.2225","28.7041","14.2647"
"'09-Jun","","","10.61","10.54","14.6","9.82","","","17.67","14.919","27.8827","14.0602"
"'10-Jun","","16.43","","9.98","14.32","9.78","6.89","","","14.053","28.722","13.9705"
"'11-Jun","","15.89","","","14.17","9","6.98","11.43","","","28.8469","13.863"
"'12-Jun","","16.16","10.65","","","9.39","6.88","11.41","17.36","","28.6059","13.8659"
"'13-Jun","","15.7","10.63","9.63","","","6.87","11.37","17.47","13.553","","13.7389"
"'14-Jun","","15.47","10.7","9.59","13.99","","6.79","11.22","17.34","13.1512","","13.6247"
"'15-Jun","","","10.61","9.99","14.14","9.47","","11.1","16.79","13.2316","27.9809","13.5573"
"'16-Jun","","","10.42","9.83","13.75","9.55","","","16.82","13.303","27.8648","13.4898"
"'17-Jun","","15.79","","9.91","13.4","9.34","6.82","","","13.9458","27.8381","13.5384"
"'18-Jun","","15.79","","","12.94","9.24","7.08","11.08","","","27.8024","13.5028"
"'19-Jun","","","","","","9.22","7.17","11.17","17.22","","27.0167","13.4803"
"'20-Jun","","15.8","10.2","","","","7.17","11.08","16.85","14.5529","","13.474"
"'21-Jun","","15.47","10.3","10.22","13.18","","7.18","10.89","16.9","15.0083","","13.5385"
"'22-Jun","","","10.19","10.22","13","9.35","","11.01","16.74","15.0618","28.0702","13.6292"
"'23-Jun","","","9.95","9.08","12.96","9.55","","","16.64","15.9279","28.097","13.5865"
"'24-Jun","","15.9","","9.46","13.23","9.12","7.1","","","13.1423","27.8381","13.339"
"'25-Jun","","15.68","","","13.31","9.57","7.12","10.89","","","28.2755","13.4038"
"'26-Jun","","15.71","10","","","9","7.37","10.78","16.88","","28.7934","13.4446"
"'27-Jun","","15.79","10.26","9.39","","","7.54","10.38","17.51","12.3834","","13.4357"
"'28-Jun","","15.94","10.24","9.21","13.09","","7.63","10.47","17.91","12.6512","","13.4935"
"'29-Jun","","","10.37","8.97","13.11","9.46","","10.62","18.07","12.5798","26.8738","13.3624"
